FalskMand,10974281,1234567890
qwertyu,2218497,1234567890
12345,38463,1234567890
Allan,180493329,0812036181
peter,874556088,0808080808
softwaretest,259195937,0000000000
kekeke,1293945287,0000000000
heheheh,252685521,0000000000
jejejeje,51350906,0000000000
jejejejejejejeje,290503192,0000000000
uyuyuyuyu,287272106,0909090909
wewewewe,2265671,1111111111
rererere,10921196,1111111111
fgfgfgfg,9977188,1111111111
popopp,436821,1111111111
1234567,4809556,1234567890
987654,221667,0987654321
Allanersej,2156161,1234567890
